,Clase,Barrio,Ubicacion,Descripcion,Precio,Links,fecha_consulta,tipo_prop,operacion,Barrio_vf,localidad,Moneda,precio_efectivo,Precio_vf,Expensas,tdc,precio_en_pesos,ambientes,coords,filtro_coords,Ubicacion_norm,latitud,longitud
7388,"Departamento en Venta en Flores, Capital Federal","Flores, Capital Federal",Yerbal 1900,Monoambiente en Venta con Balcón en Flores,USD  84.900,https://www.argenprop.com/departamento-en-venta-en-flores--15121511,2024_03_01,Departamento,Venta,Flores, Capital Federal,Dólares,precio,84900,0,1070,90843000,Monoambiente,"(-34.6256133176286, -58.4574355608496)",False,Yerbal 1900,-34.6256133176286,-58.4574355608496
7389,"Departamento en Venta en Flores, Capital Federal","Flores, Capital Federal",Yerbal 1900,Monoambiente en Venta con Balcón en Flores,USD  84.900,https://www.argenprop.com/departamento-en-venta-en-flores--15121502,2024_03_01,Departamento,Venta,Flores, Capital Federal,Dólares,precio,84900,0,1070,90843000,Monoambiente,"(-34.6256133176286, -58.4574355608496)",False,Yerbal 1900,-34.6256133176286,-58.4574355608496
7390,"Departamento en Venta en Flores, Capital Federal","Flores, Capital Federal",Yerbal 1900,Monoambiente en Venta con Balcón en Flores,USD  86.800,https://www.argenprop.com/departamento-en-venta-en-flores--15121510,2024_03_01,Departamento,Venta,Flores, Capital Federal,Dólares,precio,86800,0,1070,92876000,Monoambiente,"(-34.6256133176286, -58.4574355608496)",False,Yerbal 1900,-34.6256133176286,-58.4574355608496
7391,"Departamento en Venta en Flores, Capital Federal","Flores, Capital Federal",Yerbal 1900,Monoambiente en Venta con Balcón en Flores,USD  94.800,https://www.argenprop.com/departamento-en-venta-en-flores--15121516,2024_03_01,Departamento,Venta,Flores, Capital Federal,Dólares,precio,94800,0,1070,101436000,Monoambiente,"(-34.6256133176286, -58.4574355608496)",False,Yerbal 1900,-34.6256133176286,-58.4574355608496
7392,"Departamento en Venta en Flores, Capital Federal","Flores, Capital Federal",Yerbal 1900,Monoambiente en Venta con Balcón en Flores,USD  87.100,https://www.argenprop.com/departamento-en-venta-en-flores--15121517,2024_03_01,Departamento,Venta,Flores, Capital Federal,Dólares,precio,87100,0,1070,93197000,Monoambiente,"(-34.6256133176286, -58.4574355608496)",False,Yerbal 1900,-34.6256133176286,-58.4574355608496
7393,"Departamento en Venta en Flores, Capital Federal","Flores, Capital Federal",Yerbal 1900,Monoambiente en Venta con Balcón en Flores,USD  92.600,https://www.argenprop.com/departamento-en-venta-en-flores--15121514,2024_03_01,Departamento,Venta,Flores, Capital Federal,Dólares,precio,92600,0,1070,99082000,Monoambiente,"(-34.6256133176286, -58.4574355608496)",False,Yerbal 1900,-34.6256133176286,-58.4574355608496
7394,"Departamento en Venta en Villa Urquiza, Capital Federal","Villa Urquiza, Capital Federal",Arismendi 2700,Monoambiente Venta Parque Chas V. Urquiza,USD  58.781,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-1-ambiente--14522184,2024_03_01,Departamento,Venta,Villa Urquiza, Capital Federal,Dólares,precio,58781,0,1070,62895670,Monoambiente,"(-34.5850836740819, -58.4771391748004)",False,Arismendi 2700,-34.5850836740819,-58.4771391748004
7395,"Departamento en Venta en Villa Urquiza, Capital Federal","Villa Urquiza, Capital Federal",Cullen 5500,Venta Monoambiente  - Pura Vida Cullen,USD  78.000,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza--15332509,2024_03_01,Departamento,Venta,Villa Urquiza, Capital Federal,Dólares,precio,78000,0,1070,83460000,Monoambiente,"(-34.5752845754792, -58.4922616692332)",False,Cullen 5500,-34.5752845754792,-58.4922616692332
7396,"Departamento en Venta en Villa Urquiza, Capital Federal","Villa Urquiza, Capital Federal",Arismendi 2700,Monoambiente Venta Parque Chas V. Urquiza,USD  59.414,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-1-ambiente--14522181,2024_03_01,Departamento,Venta,Villa Urquiza, Capital Federal,Dólares,precio,59414,0,1070,63572980,Monoambiente,"(-34.5850836740819, -58.4771391748004)",False,Arismendi 2700,-34.5850836740819,-58.4771391748004
7397,"Departamento en Venta en Villa Urquiza, Capital Federal","Villa Urquiza, Capital Federal",Cullen 5500,Venta Monoambiente - Pura Vida Cullen,USD  65.000,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza--15332512,2024_03_01,Departamento,Venta,Villa Urquiza, Capital Federal,Dólares,precio,65000,0,1070,69550000,Monoambiente,"(-34.5752845754792, -58.4922616692332)",False,Cullen 5500,-34.5752845754792,-58.4922616692332
7398,"Departamento en Venta en Velez Sarsfield, Capital Federal","Velez Sarsfield, Capital Federal",Camarones 5000,Venta Departamento Monoambiente con Balcón,USD  88.200,https://www.argenprop.com/departamento-en-venta-en-velez-sarsfield-1-ambiente--14672971,2024_03_01,Departamento,Venta,Velez Sarsfield, Capital Federal,Dólares,precio,88200,0,1070,94374000,Monoambiente,"(-34.6267199693568, -58.502812607427)",False,Camarones 5000,-34.6267199693568,-58.502812607427
7399,"Departamento en Venta en Coghlan, Capital Federal","Coghlan, Capital Federal",Capitán General Ramón Freire 2600,Venta Monoambiente-apto Profesional-belgrano R.,USD  65.000,https://www.argenprop.com/departamento-en-venta-en-coghlan-1-ambiente--15375749,2024_03_01,Departamento,Venta,Coghlan, Capital Federal,Dólares,precio,65000,0,1070,69550000,Monoambiente,"(-34.5620584620904, -58.4683282165764)",False,Freire 2600,-34.5620584620904,-58.4683282165764
7400,"Departamento en Venta en Coghlan, Capital Federal","Coghlan, Capital Federal",Capitán General Ramón Freire 2600,Venta Monoambiente Apto Profesional-belgrano R.,USD  58.000,https://www.argenprop.com/departamento-en-venta-en-coghlan-1-ambiente--15375750,2024_03_01,Departamento,Venta,Coghlan, Capital Federal,Dólares,precio,58000,0,1070,62060000,Monoambiente,"(-34.5620584620904, -58.4683282165764)",False,Freire 2600,-34.5620584620904,-58.4683282165764
7401,"Departamento en Venta en Coghlan, Capital Federal","Coghlan, Capital Federal",Capitán General Ramón Freire 2600,Venta Monoambiente-apto Profesional-belgrano R.,USD  63.000,https://www.argenprop.com/departamento-en-venta-en-coghlan-1-ambiente--15375760,2024_03_01,Departamento,Venta,Coghlan, Capital Federal,Dólares,precio,63000,0,1070,67410000,Monoambiente,"(-34.5620584620904, -58.4683282165764)",False,Freire 2600,-34.5620584620904,-58.4683282165764
7402,"Departamento en Venta en Recoleta, Barrio Norte","Recoleta, Barrio Norte",JUNIN al 1300,"Departamento 1 Ambiente - Recoleta, Capital Federal",USD  120.000,https://www.argenprop.com/departamento-en-venta-en-recoleta-1-ambiente--15333617,2024_03_01,Departamento,Venta,Recoleta, Barrio Norte,Dólares,precio,120000,0,1070,128400000,Monoambiente,"(-34.5930551674015, -58.3968544084162)",False,JUNIN 1300,-34.5930551674015,-58.3968544084162
7403,"Departamento en Venta en Villa Crespo, Capital Federal","Villa Crespo, Capital Federal",Julian Alvarez al 864,Emprendimiento en Villa Crespo - Monoambiente - Apto Profesional - Entrega 09/2024,USD  69.900,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-1-ambiente--15409024,2024_03_01,Departamento,Venta,Villa Crespo, Capital Federal,Dólares,precio,69900,0,1070,74793000,Monoambiente,"(-34.59752436753454, -58.43122092331807)",False,Alvarez 864,-34.59752436753454,-58.43122092331807
